A level	상급학년시험
unaesthetic	불쾌한/악취미의/미가 결핍된/미적이 아닌/아취가 없는
unaffable	무뚝뚝한/애교가 없는/공손하지 않은
unaffected	진실한/꾸밈 없는/움직이지 않는/있는 그대로의/영향을 안 받는
unafraid	두려워하지 않는
unaided	도움을 받지 않은
unallowable	불변의/허락할 수 없는
unalloyed	순수한/진실의/합금이 아닌
unalterability	불변으로
unalterable	변경할/바꿀 수 없는
unaltered	불변의
unambiguous	명백한/모호하지 않은/애매하지 않은
unambitious	수수한/삼가는/대망이 없는
unamiable	무뚝뚝한/불친절한/퉁명스러운/붙임성 없는
unanchor	발묘하다
unaneled	종부 성사를 받지 않은
unanimity	이의없음/만장 일치
unanimous	동의의/이구동성의/만장일치의
unannounced	예고 없는/공언되지 않은/갑자기 나타나는/미리 알리지 않은
unanswerable	책임이 없는/논박할 수 없는/대답할 수 없는
unanswered	대답 없는/보답되지 않은/논박되지 않은
unapologetic	변명답지 않은/변명하지 않는/미안해 하지 않는
unappealable	종심의/상소할 수 없는
unappealing	매력이 없는/호소력이 없는
unappetizing	맛없는/시시한/식욕을 돋우지 않는
unappreciated	고맙게 여겨지지 않는/진가가 인정되지 않은
unapproachable	쌀쌀한/따르기 어려운/접근하기 어려운
unappropriated	특수 용도에 충당되지 않은/특정한 사람용으로 제공되지 않은
unapt	둔한/서투른/부적당한/...에 익숙치 않은
unaptly	서투르게/부당하게
unargued	이의 없는/논의되지 않은/의심할 여지 없는
unarm	무장 해제하다/무기를 빼앗다
unarmed	무기가 없는/무장하지 않은
unarmored	비장갑의/갑옷을 입지 않은
unartful	솔직한/있는 그대로의/교활하지 않은/잔재주를 부리지 않은
unartificial	단순한/자연스러운/인위적이 아닌/인공을 가하지 않은
unartistic	비예술적인
unary	1진법의/단일체의/단일 요소로 된
unascertainable	확인할 수 없는
unashamed	몰염치한/뻔뻔스러운/창피를 모르는
unasked	부탁받지 않은/초대 받지 않은
unaspiring	향상심 없는/공명심 없는/현상에 만족하고 있는
unassailable	공격할 수 없는
unassuming	겸손한
unattached	중립의/무소속의/무보직의/약혼하지 않은/부속되어 있지 않은
unattainable	이룰 수 없는/도달하기 어려운
unattended	방치된/수행원이 없는/치료를 받지 않은
unattractive	매력적이 아닌/남의 눈을 끌지 않는
unauthentic	불확실한/출처 불명의
unauthenticated	확증되지 않은
unauthorized	독단의/권한 밖의/공인되지 않은
unavailable	없는/부재의/무효의/무익한/이용할 수 없는/손에 넣을 수 없는
unavailing	헛된/무효의/무익한
unavoidable	피할 수 없는
unavosed	분별 없는
unaware	불의에/뜻밖에/갑자기/무심히/알지 못하는/눈치채지 못하는
unawares	뜻밖에/불시에/모르고/부지중에/알지 못하고
unawed	태연한/두려워하지 않는
unbacked	지지가 없는/사람을 태워본 적이 없는
unbalance	불균형
unbaptized	세속적인/비그리스도교의/세례를 받지 않은
unbar	열다/개방하다/빗장을 벗기다
unbark	...의 나무껍질을 벗기다
unbated	무디게 하지 않은
unbearable	참기 어려운
unbearably	참기 어려운/견딜수 없는
unbeaten	매맞지 않은/진 적이 없는/밟아 다져지지 않은
unbecoming	버릇없는/보기 흉한/맞지 않는/어울리지 않는
unbeknown	미지의/알려지지 않은
unbelief	불신/의혹/불신앙
unbelievable	믿기 어려운/믿을 수 없는
unbelievably	믿을 수 없을 정도로
unbeliever	회의자/불신앙자/믿지 않는 사람
unbelieving	회의적인/안 믿는/믿으려 하지 않는
unbelt	벗기다/...의 띠를 끄르다
unbend	풀다/확고한/끄르다/굽지않은/곧게 하다/단단한 고집센/편히 쉬게하다
unbending	굳센/완고한/고집센/꿋꿋한/확고 부동한/구부러지지 않는
unbent	곧은/굽지 않은/굴복하지 않은/자연스럽게 뻗은
unbeseeming	알맞지 않은/어울리지 않는
unbiased	공평한/편견이 없는
unbidden	자발적인/초대받지 않은/명령받지 않은
unbind	풀다/끄르다/방면하다
unbitter	독기없는
unblamable	결백한/무과실의/나무랄 데 없는
unbleached	바래지 않은/표백하지 않은
unblemished	깨끗한/결백한/흠이 없는/오점이 없는
unblessed	불행한/저주 받은/축복받지 못한/은혜를 입지 못한
unblinking	태연한/눈 하나 깜짝 않는
unblooded	순종이 아닌/경험이 없는/피묻지 않은
unblushing	뻔뻔스러운/얼굴을 붉히지 않은
unbodied	정신상의/실체가 없는/육체를 떠난
unbolt	빗장을 벗기다
unbolted	체질하지 않은
unborn	후세의/태내의/미래의/아직 태어나지않은
unborrowed	독창적인/모방이 아닌
unbosom	털어놓다/고백하다
unbounded	무한의
unbowed	불굴의/굴복하지 않은/굽어 있지 않은
unbrace	늦추다/긴장을 풀다/느슨하게 하다/연약하게 하다
unbreakable	깨지지않는
unbred	무학의/미교배의/버릇없이 자란/교육 받지 않은/새끼를 낳은 적이 없는
unbridle	해방하다/구속에서 풀다/말굴레를 벗기다
unbridled	방일한/구속이 없는/굴레를 매지 않은
unbroken	완전한/미개간의/꺽이지 않은/파손되지 않은/중단되지 않은/길들여 지지 않은
unbuckle	죔쇠를 끄르다
unbuild	허물다/헐어버리다
unbundle	개별적으로 가격을 매기다
unburden	편안하게 하다/무거운 짐을 내리다
unburied	무덤에서 발굴된/아직 매장되지 않은
unbusinesslike	비실제적인/사무적이 아닌
unbutton	흉금을 터놓다/단추를 끄르다
unbuttoned	자유로운/단추를 끄른/속박되지 않은
uncage	해방하다/새장에서 내놓다
uncalled	부르지 않은/초대되지 않은
uncalledfor	지나친/불필요한/쓸데없는
uncanny	이상한/초자연적인/기분 나쁜
uncanonical	교회법에 의하지 않은
uncap	모자를 벗기다/표하며 탈모하다
uncaredfor	황폐한/돌보는 사람 없는
uncase	밝히다/보이다/알리다/펼치다/통에서 꺼내다
uncast	배역 미정의
uncastrated	완전한/삭제되지 않은
uncaused	자존의/원인이 있어서 생긴 것이 아닌
unceasing	끊임 없는
uncefinable	한정할 수 없는/정의를 내리기 힘든
uncercount	빠뜨리고 세다/실제 보다 적게 세다
unceremonious	무관한/버릇없는/예의 없는/스스럼 없는/격식을 차리지 않는
uncertain	불확실한/흔들거리는/의심스러운/분명치 않은/일정치 않은/믿을 수 없는
uncertainty	불명/불확정/미덥지 않은 일
unchain	석방하다/사슬을 푼다/자유를 주다
unchallenged	문제가 되지 않은/도전을 받지 않은
unchancy	위험한/불운한/시기가 나쁜
unchangeable	불변의/변하지 않는
unchanged	변하지 않은
unchanging	불변의/항상 일정한/변하지 않는
uncharged	죄가 없는/장전이 안된/충전되지 않은/짐을 싣지 않은/짐을 실지 않은/고소 당하지 않은
uncharitable	엄한/무자비한/가차없는
uncharted	미지의/해도에 기재돼 있지 않은
unchartered	불법의/면허장이 없는/공인되지 않은/특허를 받지 못한
unchaste	외설한/부정한/행실이 나쁜
unchastity	외설/부정
unchecked	억제되지 않는/조회받지 않은
unchristian	비기독교적인/기독교가 아닌
unchurch	파문하다/교회의 특권을 빼앗다
uncial	연설 자체
unciform	구상골/갈고리 꼴의
uncinate	갈고리 모야의
uncircumcised	이교도의/유대인이 아닌/할례를 받지 않은
uncircumcision	이방인/무할례/할례를 받지 않음
uncivil	미개한/야만적인/예절 없는
uncivilized	황량한/미개한/야만의/문명으로부터 격리된
unclad	나체의/옷을 입지 않은
unclaimed	소유주 불명의/청구자가 없는
unclasp	놓다/펴다/걸쇠를 벗기다
unclassifiable	분류할 수 없는
unclassified	비밀이 아닌/분류되지 않은/기밀 취급을 받지 않은
uncle	백부/숙부/아저씨
unclean	더러운/불결한/부정한/사악한 외설한
uncleanly	불결한/부정한/음란한/불결하게
unclench	비집어 열다
uncloak	폭로하다/외투를 벗기다
unclog	방해를 없애다
unclose	드러내다/드러나다
unclosed	열린채로의/열려 있는/활짝 열린/완결되지 않은
unclothe	발가벗기다/옷을 벗기다/덥개를 벗기다
unclouded	갠/맑은/환한/구름없는
unco	이상한/기분나뿐/낯이 선
uncoil	풀다/풀리다
uncoined	천연의/진짜의/위조가 아닌/경화로 주조되지 않은
uncolored	사실대로의/꾸미지 않은/빗질하지 않은/바탕 빛깔대로의
uncomeatable	얻기 어려운/접근하기 힘든/손에 넣기 힘든/가까이 하기 어려운
uncomely	버릇없는/예쁘지 않은/참하지 못한/어울리지 않는
uncomfortable	불안한/불쾌한
uncommitted	미수의/의무가 없는/언질에 구속되지 않은/위원회에 회부되지 않은
uncommon	드문/비범한/이상한/흔하지 않은
uncommonly	매우/드물게/진귀하게/흔하지 않게
uncommunicative	말이 없는/수줍어 하는/속을 터놓지 않은
uncomplaining	불평하지 않은
uncompromising	강경한/완고한/양보하지 않은
unconcern	냉담/태연/무관심
unconcerned	태연한/무관한/관계가 없는/무사 태평한/개의하지 않는/관심을 가지지 않는
unconcernedly	태연하게/무관심하게
unconditional	무조건의/절대적인
unconditionally	무조건으로/절대적으로
unconditioned	무조건의/본능적인/절대적인
uncondltioned response	무조건반사
unconfirmed	확증이 없는/확인되지 않은/안수를 받지 않은/견진 성사를 받지 않은
unconformable	부정합/부적합/불일치
uncongenial	싫은/부적당한/맞지 않은/성미에 안 맞는
unconnected	관계가 없는/앞뒤가 맞지 않는
unconquerable	정복할 수 없는
unconquered	정복되지 않은
unconscionable	불합리한/비양심적인/터무니 없는
unconsciouse	모르는/무의식/부지중의/무의식의/의식불명의
unconsciously	모르게/무의식적으로
unconsidered	무시된/경솔한/사려가 없는/고려도지 않은
unconstitutional	위헌의/헌법에 위배되는
unconstrained	편안한/자발적인/자유로운/구속받지 않은/거북하지 않은
unconstraint	수의/자유/구속받지 않음
unconstructed	심이나 패드를 넣어 모양을 만든 것이 아닌
uncontested	명백한/무경쟁의/경쟁자가 없는/논쟁의 여지가 없는
uncontrollable	억제할 수 없는
uncontrolled	자유로운/억제되지 않은
uncontroversial	토론이 안되는/토론을 좋아하지 않는
unconventional	관습에 매이지 않은
unconventionality	자유로움/비인습적임/인습에 사로잡히지 않는 언행
unconverted	변화 없는/변하지 않은/회개하지 않은/개종하지 않은/전향하지 않은
unconverter	입력 버터
unconvertible	불환의/바꿀수 없는/태환이 안되는
unconvinced	모호한/미심쩍어하는/납득을 않는
unconvincing	의문이 있는/설득력 없는/납득시킬 수 없는
uncooked	날것의/요리하지 않은
uncool	날것의/요리하지않은
uncord	...의 밧줄을 풀다
uncork	감정을 토로하다/코르크 마개를 빼다
uncorrupted	부패하지 않은
uncorruptible	부패하지 않는/매수하기 어려운
uncountable	무수한/셀수없는/불가산 명사
uncounted	무수한/세지 않은
uncouple	연결을 풀다/가죽 끈을 풀다
uncourteous	버릇없는/예의를 모르는
uncourtliness	야비/조야/천함/무엄/거칠음
uncourtly	거친/천한/반궁정적인/우아하지 못한/궁정예절에 익숙지 못한
uncouth	거친/무무한/서투른/예의를 모르는
uncovenanted	계약에 의하지 않은/하느님의 약속에 의하지 않은
uncover	목로하다/털어놓다/모자를 벗다/덮개를 벗기다
uncovered	노출된/덮개가 없는/담보가 없는/차페물이 없는/보험에 들지 않은/모자를 쓰지 않은
uncreated	영원한/자존의/아직 창조되지 않은/다른것에 의해 창조된 것이 아닌
uncritcal	비판력이 없는/비판하지 않는
uncross	교차된 것을 풀다
uncrown	무관의/왕위를 빼앗다/아직 대관식을 안 올린
uncrowned	무관의/제일인자의/정식 왕이 아닌/대관식을 올리지 않은/아직 왕관을 쓰지 않은
uncrushable	불굴의/꺾이지 않는/구겨지지 않는/부서지지 않는
unction	연고/감언/도유/기름약/도유식/달래는 것/종교적열정/겉으로만의 열심
unctuous	기금같은/미끈미끈한/기름기기가 도는/말치레가 번드르한/짐짓 감동한 듯 싶은
unctuously	짐짓/지금처럼
uncued	낫지 않은/치료되지 않은
uncultivated	미개간의/교양없는조야한
uncultured	교양이 없는/개간되어 있지 않은
uncured	낫지 않은/치료되지 않은/저장되지 않은
uncurl	펴다/펴지다/곧게 되다
uncut	자르지 않은/도련되지 않은/잡물이 않 섞인/삭제된 데가 없는
undamaged	무사한/손해받지 않은
undamped	불감쇠의/쇠퇴하지 않은/축축하지 않은
undated	무기한의/날짜표시가 없는
undaunted	용감한/불굴의/겁내지 않은
undauntedly	대담하게/겁내지 않고
unde	물결 모양의
undecagon	11각형
undeceive	깨닫게 하다/..을 미몽에서 깨우치다/...에게 진실을 깨닫게 하다/...의 그릇된 생각을 깨우쳐 주다
undecidability	논증불능/결정 불가능성
undecided	미결의/미정의/우유 부단한/어떻게 될지 모르는
undeclared	공언하지 않은/신고되지 않은/선전포고를 하지 않은
undefeatable	무적의/난공불락의/쳐부술수 없는
undefeated	무패의/진 일이 없는
undefended	항변이 없는/방비가 없는/변호인이 없는
undefiled	정한/순수한/순결한/더럽혀지지 않은
undefined	확정되지 않은/정의가 내려지지 않은
undelivered	배달되지 않은/석방되지 않은
undemocratic	비민주적인
undemonstrative	내성적인/조심성 있는/내색하지 않는
undeniable	우수한/부정할 수 없는/다툴 여지가 없는
undeniably	다툴 여지가 없의 정도로
undenominational	비종파적인
undependable	의지할 수 없는
under	이하의/아래에/하급의/하부의/아래의/부족한/밑에서/종속하여/보다 못한/보다 아래를/...때문에/..의 아래에/...에 따라서/보다 작은 따위의 뜻
underabundant	별로 풍부하지 않은
underachieve	지능지수 이하의 성격을 얻다
underact	불충분하게 연기하다
underage	미성년의
underarm	겨드랑이 밑의/겨드랑이에 끼는
underarmed	군비가 불충분한
underbelly	아랫배/하복부
underbid	싸게 입찰하다/보다 싼값을 불이다
underbodice	속옷
underbody	하부/북부/저면/수면하의 부분
underboss	부두목
underbred	버릇없이 자란
underbrush	작은 나무
underbuy	싸게 사다
undercapitalize	충분한 자본을 공급하지 않다
undercarriage	차대/착륙장치/하부 구조
undercart	착륙장치
undercharacterize	인물 묘사가 부족하다/주제를 제대로 전개 못하다
undercharge	제값보다 싸게 청구하다
underclass	하층계급/최하층 계급
underclassman	2학년생
underclay	하반점토
underclerk	부서기/견습점원/사무관보
undercliff	부애
underclothed	옷을 얇게 입은
underclothes	내의/속옷
underclothing	속옷류
underclub	작은 클럽을 사용하다
undercoat	밑칠/속털/속외투/속저고리/언더코팅/밑칠용 도료/방수 도료를 칠하다/...에 밑칠을 하다
undercoating	밑칠/초벌칠
undercool	단모색의/과냉각하다/색이 부족한/불충분하게 냉각하다
undercover	비밀의/비밀히 한/첩보 활동
undercroft	둥근 천정의 지하실
undercurrent	암류/저류/표면에 나타나지 않은 경향
undercut	싼값으로 팔다/하부를 잘라내다/소 돼지의 허리살
underdetermine	불충분한 결정밖에 못하다
underdeveloped	후진의/개발이 덜된
underdevelopment	저개발/현상 부족
underdivision	아직 전문과정으로 분리되지 않은
underdo	설삶다/설굽다/충분히 하지 않다
underdog	패배자/싸움에 진 개
underdolored	단모색의/색이 부족한
underdone	설익은/설구운
underdrainage	암거 배수
underdraw	판자를 대다/회반죽을 바르다/충분히 묘사하지 않다/...의 밑에 줄을치다
underdrawers	팬츠/속바지
underdrawing	소묘/밑그림
underdress	약식의 복장을 하다/너무수수한 복장을 하다
underdressed	너무 간소한 복장의/너무 살갗을 드러낸
underdrian	암거로 배수하다
underemployed	한가/불완전 고용의/일거리가 부족한/능력 이하의 일을 하는
underemployment	불완전 고용
underestimate	싼/어림/과소 평가/싸게 어림하다/과소 평가하다
underexercised	운동 부족인
underexpose	노출 부족으로 하다
underexposure	노출부족/선전 부족
underfed	영양 부족의
underfeed	충분히 먹을 것을 주지 않다
underfelt	양탄자밑에 까는 펠트 천
underfired	덜 구워진/아래서 가열되는
underfoot	발밑에/짓밟아/멸시하여/가는길에 방해가 되어
underfund	자금 부족으로 해두다/...에 충분한 재원을 대주지 않다
undergarment	내의/속옷
undergird	뒷받침하다/...의 밑을 단단하게 묶다
underglaze	밑그림/밑그림용의/유약을 바르기 전의
undergo	받다/겪다/격다/당하다/만나다/견디다/경험하다
undergraduate	재학생
undergraduette	여자 대학생
underground	몰래/비밀의/지하의/지하에/비밀히/지하철/지하조직/지하의 공간
underground movement	지하운동
underground railroad	지하철
undergrounder	전위 운동가
undergrown	발육이 불충분한
undergrowth	관목/덤불/발육부진전
underhand	부정한/비밀의/비밀히/밑으로 던져/밑으로 던지는
underhanded	비밀의/손이 모자라는/공정하지 않은/인원이 부족한
underhoused	주택 부족의/집이 비좁고 불편한
underhung	아래턱이 내민
underinsurance	일부 보험
underived	기본적인/파생한 것이 아닌
underjaw	하악/아래턱
underkill	과거분사
underlap	아래에 부분적으로 겹치다
underlay	밑에 놓다
underlayer	하층/기초
underlease	전대하다
underlie	...의 밑에 있다/...의 기초를 이루다
underline	강조하다/...의 밑에 선을 긋다
underlinen	리넨 등으로 만든 속옷
underling	졸개/졸때기/아랫사람
underlip	아랫입술
underlying	근본적인/밑에 있는/기초를 이루는
undermanned	인원부족의
undermentioned	하기의/다음에 말하는
undermine	서서히 해치다/토대를 침식시키다/은밀히 손상시키다/밑에 갱도를 파다/...의 밑에 파다
undermost	최하의
underneath	...의 밑에
undernourish	영양 실조가 되게 하다
undernourished	영양 부족의
undernourishment	영양 부족
undernutrition	저영양/영양 부족
underoccupied	충분한 할일이 없는/크기에 비해 거주자가 적은
underpaid	박봉의
underpants	하의/팬츠
underpart	하부복부/부차적역할/동체 하부
underpass	지하도
underpay	충분히 주지 않다
underpin	기초를 보강하다/토대를 갈아놓다
underping	버팀/지주/토대
underpinning	속옷/응원/토대/지지/보강물/지주받침대/버티는 물건
underplay	낮은 패를 내다/소극적으로 연기하다
underplot	음모/삽화/곁줄거리
underpopulated	인구 과소의/인구가 적은/인구 부족의
underpopulation	인구 부족
underprivileged	충분한 권리를 못가진
underproduce	생산이 부족하다/불충분하게 생산하다
underproduction	저생산/생산부족/생산 부족
underproductive	샌산성이 낮은/생산성이 낮은
underproof	표준강도 이하의
underprop	지원하다/기둥으로 받치다
underquote	다른 가게보다 싸게 팔다/...보다 싼 값을 매기다
underrate	얕보다/낮게 평가하다
underreact	미온전인 반응을 보이다/미온적인 반응을 보이다
underripe	미숙한/덜 익은
underrport	적게 신고하다
underrun	밑을 달리는것/저류로서 흐르다/...의 밑을 달리다
underscore	강조하다/...의 밑에 선을 긋다
undersea	바다속에/바다속의
undersecretary	차관/정무차관/차관의 직
undersell	보다 싸게 팔다
undersense	숨은 뜻/잠재 의식
underservant	잔심부름꾼/잔심부름하는 하녀
underset	전대하다/받치다지지하다/...의 아래에 놓다/저류의 흐름과 반대로 흐르는
undersexed	성욕이 약한/성행위에 관심이 적은
undersheriff	주 장관 대리/군 보안관 대리
undershirt	내의/속셔츠
undershoot	에 이르지 못하다/못 미쳐 착륙하다
undershorts	팬츠
undershot	하사의/아래턱에 쏙 내민
undershrub	작은 관목
underside	밑면/아랫면
undersign	끝에 서명하다/아래 기명하다
undersigned	아래에 서명한
undersize	소형/보통보다 작음
undersized	소형의/보통보다 작은
underskirt	속치마/패티코트
undersleeve	안소매
underslung	굴대 밑에 테가 있는
undersoil	밑흙/하층토/바닥흙
undersong	저의/반창가/숨겨진 의미
underspecified	정해진 질보다 못한
understaffed	인원 부족의
understand	정통하다/이해하다/추측하다/전해듣고 있다/..의 의미로 해석하다
understandability	알기 쉬움/이해할 수 있음
understandable	알만한/이해할 수 있는
understandably	당연하게도/이해할 수 있게/이해할 만한 일이지만
understanding	양해/동의/지시력/이해력
understate	안틀어 말하다
understatement	삼가서 말함/삼가서 하는 말
understeer	아랫사람/말단 직원
understock	충분이 들여놓지 않다
understood	양해된/이해된
understratum	하층
understrength	힘부족의/병력 부족의/정원이 모자라는
understructure	기초/바탕/근거/하부 구조
understudy	대역/배우/대역을 연습하다
undersupply	공급 부족
undersurface	밑면/하면/물속의/땅속의
undertake	떠맡다/인수인/청부인/장의사/인수하다/약속하다/기도하다/보증하다
undertaker	일/보증/사업/기업/약속/떠맡은 일/청부한 일
undertaking	사업/약속/인수한 일
undertax	과소하게 과세하다
undertenant	전차인
underthecounter	귀중한/불법의/품귀한/비밀 거래의
underthetable	비밀 거래의
underthings	속옷
undertint	엷은색조
undertone	작음소리/엷은 빛깔
undertow	해저의 역류/해안에서되돌아치는 물결
undervalue	얕보다/싸게 평가하다/과소 평가하다
undervest	속옷/소매 없는 속셔츠
underwaist	속적삼
underwater	수중의/홀수선 밑의
underway	여행중인
underwear	내의/속옷
underweight	중량 부족
underwhelm	파흥시키다/...에게 감명을 주지 못하다
underwing	뒷날개/뒷날개에 줄무늬가 있는 나방
underwood	총림/큰나무 밑에 관목
underwork	토대/잡무/허드렛일/기초 구조/이면 공작/비밀 행동/몸을 아끼다/충분히 일하지 않다/충분히 일시키지 않다/...보다 싼 임금으로 일하다
underworld	암흑가/하층사회
underworldling	폭력단원/암흑가의 사람
underwrite	인수하다/아래에 쓰다
underwriter	보증인/인수업자/보험업자/증권 인수인/해상보험업자
undescribable	필설로 못다할/형용할 수 없는
undeserved	과분한/가치가 없는
undeserving	받을 가치가 없는/...의 값어치가 없는
undesignated	지정되지 않은/임명되지 않은
undesigned	우연의/고의가 아닌
undesirable	임명되지 않은/바람직하지 않은
undesired	바라지않은/부탁하지 않은
undestroyable	불멸의/파괴할 수 없는
undetected	들키지 않은/발견되지 않은
undetermined	미정의
undeveloped	충분히/발달하지 못한
undeviating	벗어나지않는
undevout	신앙심 없는
undies	내의/속옷
undifferentiated	획일적인/차이가 생기지 않은
undignified	위엄이 없는
undiluted	물타지 않은/희석하지 않은
undilution	불희석
undiminished	줄지 않은/쇠퇴되지 않은
undine	물의 요정
undiplomatic	요령이 없는/외교수완이 없는
undirected	지시 없는/지도자 없는/목표가 불명한/수취인 주소 성며이이 없는
undiscerning	분별없는/분간못하는/지각이 둔한
undischarged	양륙되지 않은/상환되지 않은/면책되지 않은/발사되지 않은/이행되지 않은
undisciplined	훈련이 안된/군기가 없는
undisclosed	폭로되지 않은/나타나지 않은/비밀에 붙여진
undiscovered	미지의/발견되지 않은
undiscriminating	무차별의/식별력 없는/민감하지 않은/식별하지 않는
undisguised	있는 그대로의/가면을 쓰지 않은
undismayed	태연한
undisposed	미처리의/처분되지 않은/할당되지 않은/좋아하지 않는/마음내키지 않는
undisputed	당연한/의심없는 확실한
undissociated	해리 되지 않은
undissolved	분해되지 않은
undistinguishable	구별할 수 없는
undistinguished	평범한/구별되지 않는
undistorted	충실한/정상적인/왜곡되지 않은/일그러짐이 없는
undisturbed	평온한/방해되지 않는
undivided	연속된/나눌 수 없는
undo	풀다 끄르다/원 상태로 돌리다
undoable	실행할 수 없는
undock	도킹을 풀다/도킹에서 풀리다
undoer	유혹자/푸는사람/취소하는 사람/파멸로 이끄는 사람
undogmatic	독단적이 아닌/교리에 얽매이지 않는
undoing	풀기/타락/끄름/영락/취소/원상태로 하기
undomestic	국산이 아닌/길들지 않은/가정적이 아닌
undomesticated	길들지 않은/가정적이 아닌/가정 생활에 적합지 않은
undone	파멸한/풀어진/하지않은 미완성의
undoubted	확실한/의심할 여지가 없는
undoubtedly	확실히/의심할 여지없이
undoubting	확신하는/의심하지 않는/의문을 갖지 않는
undrained	배수가 안된/물기가 남아 있는
undraw	열다
undreamedof	생각 조차 못한/꿈에도 생각 않은
undress	장식을 떼다/옷을 벗기다
undressed	약장의/발가벗은/옷을 벗은/잠옷 바람의/요리하지 않은/손질하지 않은/무두질하지 않은/붕대 감지 않은/소스를 치지 않은
undrinkable	맛없는/마시지 못할/마시기에 부적합한
undue	과도한/매우심한/부적당한/지나치게 많은/기한이 되지 않은
undulant	파도치는/물결 모양의
undulant fever	파상열
undulate	굽이치다/물결치다/기복하다/물결이 일다
undulation	기복/동계/진동/광파/음파/파동/굽이침
undulatory	파동의/물결치는
undulatus	물결 모양의
unduly	과도하게/부당하게
undutiful	불충실한/순종하지 않는/의무를 다하지 않은
undying	불사의/불멸의
unearned	노력하지 않고 얻은
unearned increment	자연적 가치 증가
unearth	발굴하다/굴에서 몰아내다
unearthly	섬뜩한/기분나쁜/상식밖의/초자연적인/무시무시한/비현실적인/소름 끼치는/터무니 없는/이 세상 것 같지 않은
uneasily	걱정하여/불쾌하게/불안 속에
uneasiness	불안/불쾌/걱정/거북함
uneasy	불안한/걱정되는
uneatable	먹지 못할
uneaten	먹지 않은
uneconomic	비경제적인/비절약적인/경제원칙에 맞지 않는
unedifying	계발하지 않는/교훈이 되지 않는
unedited	편집되지 않은/아직 출판되지 않은
uneducated	무지한/교육은 받지 못한
unelectrified	전화 되지 않은/전력이 공급되지 않는
unemotional	냉정한/감정적이 아닌/감정에 좌우되지 않는
unemployable	고용 불가능한
unemployed	실직한/일이 없는
unemployment	실직/실업률/실업자수/실업 상태
unemployment benefit	실업수당
unemployment compensation	실업보상
unencumbered	방해없는/부담없는
unending	끝없는/무한한
unendowed	부여되지 않은/타고난 재능이 없는
unendurable	견딜수 없는
unengaged	선약이 없는/약혼하지 않은
unengaging	매력 없는/마음을끌지 않는
unenlightened	무지한/미개의/완미한/편견에 찬/진상을 모르는/계몽되지 않은
unenviable	부럽지 않은/부러워할 것 없는
unenvied	부러워 하지 않은
unenvious	부러워 하지 않은
unequal	불평등한/같지 않은
unequaled	무쌍한/무적의/둘도 없는/필적할 것이 없는
unequivocal	명백한/보호하지 않은
unerring	틀림 없는/잘못이 없는
unessential	중요하지 않은/본질적이 아닌
unestablished	확립되지 않은/설립되지 않은
uneven	한결같지 않은/평탄하지 않은
uneventful	평온/무사한
unexacting	수월한/엄하지 않은/강요적이 아닌/까다롭게 굴지 않는
unexampled	전례 없는/비할데 없는
unexceptionable	나무랄 데 없는
unexceptional	보통의/예외가 아닌
unexhausted	지쳐버리지 않은/아직 없어지지않은
unexpected	뜻밖의/뜻하지 않은
unexpectedly	돌연/갑자기/뜻밖에/예상외로
unexpendable	중요한/불가결의/소비할 수 없는/다 써버릴 수 없는
unexperienced	미경험의
unexplainable	설명이 없는/이유가 밝혀지지 않은
unexploded	발사되지 않은/폭발되지 않은
unexplored	아직 탐험되지 않은
unexpressed	암묵의/표현되지 않은
unexpressive	표현력이 부족한/뜻을 충분히 전달하지 못하는
unexpurgated	삭제되지 않은
unextinguished	꺼지지 않은
unfaded	퇴색되지 않은/빛이 날지 않은
unfading	불멸의/쇠퇴하지 않는/빛이 바래지 않는/쉽사리 시들지 않는
unfailing	틀림이 없는/신뢰할 수 있는
unfair	부정한/불공평한
unfaithful	부정한/성실하지 않은
unfaltering	주저하지 않은/비틀거리지 않은
unfamilarity	잘모름/익숙지 않은
unfamiliar	진기한/잘알지 못하는
unfashionable	멋없는/유행에 뒤진
unfasten	풀다/풀리다/늦추다
unfathered	사생아의/아비 없는/출처가 불분명한/아버지의 인지를 받지 못한
unfatherly	쌀쌀한/아버지 답지 않은
unfathomable	불가해한/깊이를 헤아릴 수 없는
unfathomed	측량할 수 없는/헤아릴 수 없는
unfavorable	불리한/형편이 나쁜
unfazed	당황하지 않은/마음이 동요하지 않은
unfearing	겁없는
unfeasible	실행할 수 없는/실시하기 어려운
unfederated	동맹하고 있지 않은
unfeeling	잔인한/무정한/느낌이 없는
unfeigned	거짓 없는
unfelt	느낄수 없는/느끼지 않은
unfeminine	여자답지 않은/여성적이 아닌/여성용이 아닌
unfenced	무방비의/담이 없는
unfetter	석방하다/족쇄를 풀다
unfettered	자유로운/차꼬가 풀린
unfilial	불효한/자식답지 않은/효도를 다하지 않는
unfilled	채워지지 않은
unfiltered	여과되지 않은/필터를 사용하지 않고 촬영한
unfinished	미완성의/완전히 마무리 되지 않은
unfit	부정당한/적임이 아닌
unfitted	헐렁한/부적절한/설비없는/끼지 않는/맞지 않은
unfitting	부적절한/어울리지 않는
unfix	풀다/끄르다
unfixed	떼어낸/늦추어진/분명치 않은/고정되지 않은
unflagging	쇠하지 않은/지칠줄 모르는
unflappable	침착한/쉽사리 흥분하지 않는
unflattered	실물대로의
unflattering	어린/미숙한/풋내기의/젖내 나는/아첨하지 않는
unfledged	젖비린애 나는/덜 발달한 미숙한/깃털이 다 나지 않은
